채용공고명,회사명,마감일,자격면허,고용형태_근무형태,근무조건_지역,모집요강,모집직종,링크,회사 전화번호,담당자 전화번호
한림대학교성심병원 미화감독 구인,(주)해동우남,"채용시까지
(마감시간 : 24시)",관계없음,"기간의 정함이 있는 근로계약
주 6일 근무
(주 소정근로시간: 40시간)","경기도 안양시 동안구 관평로170번길 22, 한림대성심병원 (평촌동)","- 평촌한림대성심병원 미화감독 업무
- 장비작동가능자(보행식, 돌돌이, 왁스작업 등) 우대
- 주5일, 06~16시(휴게 08:30~09:30,11:00~12:00)*주40시간 근무/ 평일 2일 휴무로 주말 근무 가능하신 분
- 월급 290만원(연차별도사용)",환경·청소 관리자,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJ21062606120007&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,02-2632-1752,휴대폰번호와 이메일은 로그인하셔야 조회가 가능합니다.
방문요양 요양보호사 모집,하은재가복지센터,"채용시까지
(마감시간 : 24시)","필수
요양보호사","기간의 정함이 없는 근로계약(시간(선택)제)
주 5일 근무
(주 소정근로시간: 15시간)","충청북도 제천시 의림대로 47, 1층","재가방문 요양보호사(어르신케어)
시급 13,000원, 교통비 별도 지급",재가 요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KF11242606120002&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"043-651-0101, 043-652-0101",043-651-0101
(인덕원역/ 일7시간/ 소방1급)주상복합 영선주임 채용,대영관리주식회사,"채용시까지
(마감시간 : 24시)","필수
1급 소방안전관리자","기간의 정함이 있는 근로계약
주 5일 근무","경기도 안양시 동안구 흥안대로 527, . (관양동)","- 건물내 시설관리및 영선업무등
- 1급 소방안전관리자 선임 (필수)
- 주5일 ( 09:00~ 17:00)
- 급여 : 2,103,000원 (연차수당포함)
*지원방법 : 팩스지원 031-388-8332 이력서 상단 기재 - 인덕원역 스타타워 시설주임 지원]
*메일지원가능 : deyoungm11@naver.com [메일 제목에 기재 : 인덕원역 스타타워 시설주임 지원]
팩스로 지원하실 경우에는 이력서 상단에 공고 제목 기재 필수로 해주셔야 합니다
*문의전화의 경우 통화량이 많아 통화가 어려우실수 있으니 문의전화는 양해 부탁드립니다.
감사합니다.",건물 보수원 및 영선원(아파트 기계·전기 시설관리 제외),https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJ21062606120006&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"031-388-8332, 031-344-6214",031-344-6214
[동작구 흑석동] 흑석동양아파트 실내미화원 구인,주식회사 나래종합관리,2026.08.11 (화) 01:00,관계없음,"기간의 정함이 있는 근로계약
주 6일 근무
(주 소정근로시간: 29시간)","서울특별시 동작구 서달로1길 17 (흑석동, 흑석동양아파트)","[동작구 흑석동] 흑석동양아파트 실내미화원 구인
- 아파트 공용공간 청소 업무
- 복지카드소지자 우대
- 월~금 09:00~16:00 (휴게1시간 30분) 토요격주근무 09:00~12:00
- 월 1,547,180원","건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJAM002606120004&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"02-831-3380, 02-2065-5323",02-831-3380
재가 요양보호사 채용,미카엘재가노인복지센터,2026.08.11 (화) 24:00,관계없음,"기간의 정함이 없는 근로계약(시간(선택)제)
주 5일 근무
(주 소정근로시간: 15시간)","경기도 수원시 권선구 노림로 22-1, . (호매실동, 협신빌라)","▶5등급 어머님(독거)
▶식사도움,,병원동행도움등
▶근무시간 : 주5일 10:00-13:00
▶급여 : 13,000원=시급+주휴수당+연차수당+기타수당
*치매교육이수자
* 채용문의; 031-295-7008",재가 요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJ21022606120006&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"031-295-7008, 031-296-7004",031-295-7008
"[상봉1동 주민센터 인근, 5등급 남자어르신 15~18시, 주5일, 치매교육이수 필] 재가요양보호사 구인",다사랑방문요양센타,"채용시까지
(마감시간 : 24시)","필수
요양보호사1급","기간의 정함이 없는 근로계약(시간(선택)제)
주 5일 근무
(주 소정근로시간: 15시간)",서울특별시 중랑구 상봉중앙로5다길 11 (상봉동),"- 5등급 남자어르신 치매교육이수 필
- 식사, 청소, 말벗, 개인생활지원
- 15:00 ~ 18:00, 주5일
- 시급13,000원(기본 시급 10,320원 + 주휴·연차수당 포함)",재가 요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJAZ002606120003&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"02-491-8851, 02-491-8875",02-491-8851
[숭실대입구역 부근] 힐스테이트상도센트럴파크 아파트 미화원 모집,예주산업(주),"채용시까지
(마감시간 : 24시)",관계없음,"기간의 정함이 있는 근로계약
주 5일 근무
(주 소정근로시간: 28시간)","서울특별시 동작구 상도로 346-1 (상도동, 힐스테이트 상도 센트럴파크)","[숭실대입구역 부근] 힐스테이트상도센트럴파크 아파트 미화원 모집
-근무시간: 08:00~15:00(12:00~13:15 휴게) / 주5일
-급여 : 월 1,547,180원
-복지카드 소지자 우대
-전화문의 010-2739-0455(정미영 반장)","건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJAF002606120001&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,010-2739-0455,010-2739-0455
위생원모집,채운요양원,"채용시까지
(마감시간 : 24시)",관계없음,"기간의 정함이 없는 근로계약
주 5일 근무","충청남도 당진시 운곡1길 10, 채운요양원 (채운동)","모집직종 : 위생원
직무내용 : 청소 및 빨래
급여 : 최저시급
근무시간 : 9:00~18:00
장기근속수당, 처우개선비있음.",위생사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KF10382606120001&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"041-358-9982, 041-358-9983",041-358-9982
[기흥구 영덕동] 굿모닝한방병원 미화원 채용,주식회사 피누스이앤씨,"채용시까지
(마감시간 : 24시)",관계없음,"기간의 정함이 있는 근로계약
주 5일 근무
(주 소정근로시간: 40시간)","경기도 용인시 기흥구 흥덕1로79번길 24, 굿모닝한방병원 (영덕동)","* 미화 반장 1명, 미화원 2명
- 직무내용 : 내부 청소
- 근무시간 : 평일 07:00~16:00 (휴게시간 1시간),
(3주에 1회) 토요일 또는 일요일 07:00~16:00
- 급 여 : 월 2,336,260 ~ 2,436,260원
- 복지카드 소지자 우대","건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJKX002606120006&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,031-972-0975,휴대폰번호와 이메일은 로그인하셔야 조회가 가능합니다.
[양원역 인근 3등급 여자어르신 11시~14시 주5일] - 재가요양보호사 구인,다사랑방문요양센타,"채용시까지
(마감시간 : 24시)","필수
요양보호사","기간의 정함이 없는 근로계약(시간(선택)제)
주 5일 근무
(주 소정근로시간: 15시간)","서울특별시 중랑구 양원역로 92, . (망우동, LH서울양원1단지)","- LH서울양원, 3등급 여자어르신
- 식사,청소, 말벗, 개인생활
- 11시~14시, 주5일
- 시급: 10,320원(주휴수당+연차수당 포함 13,000원)",재가 요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJAZ002606120002&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"010-6310-8080, 02-491-8875",휴대폰번호와 이메일은 로그인하셔야 조회가 가능합니다.
